"fish_id","exp","holding_tank","acc_tank","chamber","fish_mort_resting","fish_mort_pcrit","equipment_failure_resting","posttrial_wet_weight_g","cf","hsi","l_perc_dw","t_perc_dw"
"FV124","group19","tank_2","tank_2","ch1","N","N","N",18.4,1.20982986767486,1.77777777777778,0.253125,0.227920227920228
"FV125","group19","tank_2","tank_2","ch2","N","N","N",17.3,1.13750308210734,1.41071428571429,0.257383966244726,0.242774566473988
"FV126","group19","tank_2","tank_2","ch4","N","N","N",22.6,1.24459756543499,1.56398104265403,0.275757575757576,0.262264150943396
"FV127","group19","tank_2","tank_2","ch5","N","N","N",9.9,1.02030405060708,1.33684210526316,0.283464566929134,0.22972972972973
"FV128","group19","tank_2","tank_2","ch6","N","N","N",23.8,1.13487243652344,1.57575757575758,0.28021978021978,0.237762237762238
"FV129","group19","tank_2","tank_2","ch7","N","N","N",26.8,1.16523360325013,1.61685823754789,0.251184834123223,0.238297872340426
"FV130","group19","tank_2","tank_2","ch8","N","N","N",21.5,1.07479793798766,1.34285714285714,0.26241134751773,0.233333333333333
"FV131","group20","tank_2","tank_1","ch1","N","Y","N",19.3,1.06286429260599,2.02673796791444,0.216358839050132,0.247706422018349
"FV132","group20","tank_2","tank_1","ch2","N","Y","N",19.6,1.1063689029054,1.76795580110497,0.215625,0.243636363636364
"FV133","group20","tank_2","tank_1","ch3","Y","N","N",16.5,1.2396694214876,1.74534161490683,0.224199288256228,0.271317829457364
"FV134","group20","tank_2","tank_1","ch5","N","Y","N",14.8,0.856481481481482,2.37062937062937,0.221238938053097,0.224043715846995
"FV135","group20","tank_2","tank_1","ch6","Y","N","N",21.1,1.25210736791009,1.44878048780488,0.249158249158249,0.222560975609756
"FV136","group20","tank_2","tank_1","ch7","Y","N","N",20,1.34994303240403,1.39459459459459,0.27906976744186,0.234957020057307
"FV137","group20","tank_2","tank_1","ch8","Y","N","N",29.2,1.45972557159254,1.60278745644599,0.228260869565217,0.199017199017199
"FV138","group21","tank_1","tank_3","ch1","N","N","N",30.2,1.10058309037901,1.59863945578231,0.234042553191489,0.23827392120075
"FV139","group21","tank_1","tank_3","ch2","N","N","N",17.9,1.08944926209593,1.3953488372093,0.25,0.226666666666667
"FV140","group21","tank_1","tank_3","ch3","N","N","N",20.7,1.08568863079454,1.34328358208955,0.262962962962963,0.246781115879828
"FV141","group21","tank_1","tank_3","ch4","N","N","N",20.8,1.14547032571008,1.52682926829268,0.31629392971246,0.238546603475513
"FV142","group21","tank_1","tank_3","ch6","N","N","N",15.6,1.05295556527515,1.28947368421053,0.244897959183673,0.237244897959184
"FV143","group21","tank_1","tank_3","ch7","N","N","N",16.7,1.15739377100375,1.68518518518519,0.267399267399267,0.230952380952381
"FV144","group21","tank_1","tank_3","ch8","Y","N","N",17.9,1.24055979047707,1.31976744186047,0.237885462555066,0.209163346613546
